age,study_hours_per_day,deep_work_sessions,assignment_completion_rate,attendance_percentage,social_media_hours,doomscrolling_before_sleep,notification_distractions,ai_tool_usage_hours,gaming_hours,stress_level,motivation_level,focus_score,procrastination_index,sleep_hours,caffeine_intake,physical_activity_hours,internet_quality,family_support,financial_stress,productivity_after_midnight,revision_efficiency,burnout_risk,consistency_score,final_exam_score,gender_Male,city_type_Semi-Urban,city_type_Urban,mental_state_Burnout,mental_state_Distracted,mental_state_Focused,learning_style_Practical,learning_style_Reading,learning_style_Visual,career_goal_Business,career_goal_Engineering,career_goal_Medical,career_goal_Research
21,3.2,7,100,70,3.8,0,107,0.6,1.8,8,5,4.0,8,5.8,4,0.6,1,10,6,9,1,10,3,32,0,1,0,0,0,0,0,0,0,0,1,0,0
19,3.9,2,46,70,2.6,1,93,1.5,1.1,4,7,8.0,3,6.1,5,0.0,4,2,6,6,10,4,6,59,0,1,0,1,0,0,1,0,0,1,0,0,0
16,4.3,7,54,57,4.3,1,82,0.5,0.0,2,5,8.0,10,6.6,4,1.3,9,1,9,7,9,8,1,34,0,0,1,1,0,0,0,0,1,0,1,0,0
19,5.3,1,78,90,1.7,0,27,1.4,3.8,8,6,3.0,1,8.0,2,1.3,1,5,10,7,7,9,10,60,1,1,0,1,0,0,0,1,0,0,0,1,0
17,4.1,3,100,81,2.6,0,8,1.3,2.5,4,7,3.0,6,6.9,5,1.7,9,5,6,4,10,7,9,77,0,0,1,0,0,1,0,0,1,0,0,1,0
23,3.5,2,96,62,0.0,0,41,1.8,0.4,8,6,8.0,9,7.6,3,1.2,4,7,2,3,1,5,1,56,1,0,1,0,0,1,0,1,0,0,0,1,0
22,4.2,1,67,72,2.4,1,105,2.7,0.0,2,5,10.0,6,7.4,2,0.1,8,1,6,8,5,4,2,74,0,0,1,0,0,1,1,0,0,1,0,0,0
15,7.3,0,99,55,4.2,1,63,1.9,3.1,3,4,7.0,4,5.4,0,0.3,2,8,1,9,9,2,7,88,1,0,0,1,0,0,0,0,0,0,0,1,0
17,3.1,7,96,98,2.2,1,6,2.5,2.2,7,9,9.0,3,7.5,3,1.4,8,6,8,1,8,4,1,81,1,0,0,0,0,0,0,0,1,0,0,0,0
16,2.9,1,93,84,1.2,1,37,2.2,2.0,4,8,8.0,7,6.0,2,1.7,3,6,7,6,6,6,3,71,1,0,1,0,0,0,0,1,0,0,0,1,0
16,6.0,6,72,54,1.0,1,65,4.3,2.0,1,1,5.0,6,6.4,4,1.6,3,1,4,5,7,1,3,76,0,0,1,0,0,1,0,0,0,0,0,0,1
22,2.1,5,63,99,3.1,0,6,0.4,3.3,9,6,7.0,10,6.0,6,0.0,8,10,7,9,4,4,1,18,1,0,1,1,0,0,0,1,0,0,1,0,0
22,5.4,3,90,72,4.0,0,19,0.7,1.6,7,6,3.0,9,6.7,0,1.1,4,10,6,6,5,1,8,64,1,0,1,0,0,1,0,1,0,0,0,0,1
19,5.0,6,43,55,3.1,1,51,0.8,0.9,2,10,3.0,1,7.0,7,0.6,7,10,5,10,5,7,9,55,0,0,1,0,1,0,0,0,0,0,0,0,0
